순위,제목,아티스트
1,퀸카 (Queencard),(여자)아이들
2,I AM,IVE (아이브)
3,HARD,SHINee (샤이니)
4,Spicy,aespa
5,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
6,Kitsch,IVE (아이브)
7,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
8,Hype Boy,NewJeans
9,Ditto,NewJeans
10,Steal The Show (From “엘리멘탈”),Lauv(라우브)
11,헤어지자 말해요,박재정
12,Cupid,FIFTY FIFTY
13,손오공,세븐틴(SEVENTEEN)
14,OMG,NewJeans
15,Attention,NewJeans
16,꽃,지수(JISOO)
17,TOMBOY,(여자)아이들
18,Dangerously,Charlie Puth(찰리 푸스)
19,KNOCK,이채연
20,JUICE,SHINee (샤이니)
21,After LIKE,IVE (아이브)
22,사건의 지평선,윤하(Younha/ユンナ)
23,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
24,Off My Face,Justin Bieber(저스틴 비버)
25,Thirsty,aespa
26,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
27,When I Get Old,Christopher(크리스토퍼)
28,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
29,STAY,The Kid LAROI
30,너의 모든 순간,성시경
31,LOVE DIVE,IVE (아이브)
32,잠깐 시간 될까,이무진
33,ANTIFRAGILE,LE SSERAFIM (르세라핌)
34,Shut Down,BLACKPINK
35,Cupid (Twin Ver.),FIFTY FIFTY
36,한 페이지가 될 수 있게,DAY6 (데이식스)
37,Love Me Like This,NMIXX
38,그라데이션,10CM
39,빛이 나는 너에게,던 (DAWN)
40,10X,SHINee (샤이니)
41,FEARLESS,LE SSERAFIM (르세라핌)
42,오르트구름,윤하(Younha/ユンナ)
43,Cookie,NewJeans
44,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
45,주저하는 연인들을 위해,잔나비
46,Allergy,(여자)아이들
47,Teddy Bear,STAYC(스테이씨)
48,That's Hilarious,Charlie Puth(찰리 푸스)
49,Candy,NCT DREAM
50,Broken Melodies,NCT DREAM
51,심(心),DK(디셈버)
52,Pink Venom,BLACKPINK
53,Satellite,SHINee (샤이니)
54,CHRISTIAN,지올팍(Zior Park)
55,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
56,ELEVEN,IVE (아이브)
57,INVU,태연 (TAEYEON)
58,The Feeling,SHINee (샤이니)
59,나의 X에게,경서
60,나에게 그대만이,탑현
61,한강에서 (Feat. BIG Naughty),폴킴(Paul Kim)
62,사랑인가 봐,멜로망스(MeloMance)
63,특,Stray Kids (스트레이 키즈)
64,Identity,SHINee (샤이니)
65,Salty & Sweet,aespa
66,사실말야내가말야그게그러니까말이야,케이시
67,다정히 내 이름을 부르면,경서예지
68,Like It,SHINee (샤이니)
69,희재,이홍기 (FT아일랜드)
70,물론,허각
71,Monologue,테이(Tei)
72,Heaven(2023),임재현
73,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
74,불면증 (Insomnia),SHINee (샤이니)
75,Nxde,(여자)아이들
76,나의 바람 (Wind And Wish),비투비
77,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
78,Dynamite,방탄소년단
79,Poppy (Korean Ver.),STAYC(스테이씨)
80,부동의 첫사랑,10CM
81,취중고백,김민석 (멜로망스)
82,WHEN I MOVE,카라(Kara)
83,VIBE (feat. Jimin of BTS),태양
84,Gravity,SHINee (샤이니)
85,Sweet Misery,SHINee (샤이니)
86,찬란한 하루,멜로망스(MeloMance)
87,해요 (2022),#안녕
88,도깨비불 (Illusion),aespa
89,드라마,아이유(IU)
90,사랑의 바보,제이세라(J-Cera)
91,사랑은 늘 도망가,임영웅
92,Feel My Rhythm,Red Velvet (레드벨벳)
93,strawberry moon,아이유(IU)
94,사랑하지 않아서 그랬니,지아(Zia)
95,Say I Love You,우디(Woody)
96,사랑..그게 뭔데,지아(Zia)
97,FRIEND THE END,볼빨간사춘기
98,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
99,LOVE me,BE'O (비오)
100,딱 10CM만,10CM
