순위,곡명,가수명
1,퀸카 (Queencard),(여자)아이들
2,I AM,IVE (아이브)
3,Spicy,aespa
4,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
5,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
6,Kitsch,IVE (아이브)
7,사랑은 늘 도망가,임영웅
8,모래 알갱이,임영웅
9,우리들의 블루스,임영웅
10,헤어지자 말해요,박재정
11,Hype boy,NewJeans
12,다시 만날 수 있을까,임영웅
13,무지개,임영웅
14,꽃,지수 (JISOO)
15,London Boy,임영웅
16,손오공,세븐틴 (SEVENTEEN)
17,이제 나만 믿어요,임영웅
18,Polaroid,임영웅
19,아버지,임영웅
20,Ditto,NewJeans
21,인생찬가,임영웅
22,A bientot,임영웅
23,손이 참 곱던 그대,임영웅
24,Cupid,FIFTY FIFTY
25,사랑해 진짜,임영웅
26,연애편지,임영웅
27,OMG,NewJeans
28,사건의 지평선,윤하 (YOUNHA)
29,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
30,I Don't Think That I Like Her,Charlie Puth
31,보금자리,임영웅
32,Allergy,(여자)아이들
33,Candy,NCT DREAM
34,Dangerously,Charlie Puth
35,After LIKE,IVE (아이브)
36,Dynamite,방탄소년단
37,Attention,NewJeans
38,물론,허각
39,LOVE DIVE,IVE (아이브)
40,Teddy Bear,STAYC(스테이씨)
41,심(心),DK(디셈버)
42,Take Two,방탄소년단
43,Butter,방탄소년단
44,사랑..그게 뭔데,지아
45,사랑하지 않아서 그랬어,임한별
46,사람 Pt.2 (feat. 아이유),Agust D
47,ANTIFRAGILE,LE SSERAFIM (르세라핌)
48,잠깐 시간 될까,이무진
49,Like Crazy,지민
50,Broken Melodies,NCT DREAM
51,봄날,방탄소년단
52,HARD,SHINee (샤이니)
53,Heaven(2023),임재현
54,사랑인가 봐,멜로망스
55,나에게 그대만이,탑현
56,Permission to Dance,방탄소년단
57,NIGHT DANCER,imase
58,너의 모든 순간,성시경
59,The Planet,방탄소년단
60,빛이 나는 너에게,던 (DAWN)
61,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
62,찬란한 하루,멜로망스
63,"Angel Pt. 1 (Feat. Kodak Black, NLE Choppa, JVKE, Muni Long)",Fast & Furious: The Fast Saga
64,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국
65,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
66,Thirsty,aespa
67,KNOCK,이채연
68,첫 키스에 내 심장은 120BPM,경서
69,That's Hilarious,Charlie Puth
70,사랑의 바보,제이세라
71,STAY,The Kid LAROI
72,Nxde,(여자)아이들
73,부동의 첫사랑,10CM
74,TOMBOY,(여자)아이들
75,on the street (with J. Cole),j-hope
76,나의 바람 (Wind And Wish),비투비
77,안녕이라고 말하지마,V.O.S
78,해요 (2022),#안녕
79,한사람만 (2023) (여름날 우리 X 이홍기 (FT아일랜드)),이홍기 (FT아일랜드)
80,그중에 그대를 만나,김호중
81,취중고백,김민석 (멜로망스)
82,사랑하지 않아서 그랬니,지아
83,사랑하기 싫어,지아
84,CHRISTIAN,Zior Park
85,Monologue,테이
86,That’s Not How This Works (feat. Dan + Shay),Charlie Puth
87,FRIEND THE END,볼빨간사춘기
88,Love Me Like This,NMIXX
89,한강에서 (Feat. BIG Naughty),폴킴
90,다정히 내 이름을 부르면,경서예지
91,그라데이션,10CM
92,ELEVEN,IVE (아이브)
93,LOCKDOWN,이세계아이돌
94,FEARLESS,LE SSERAFIM (르세라핌)
95,Shut Down,BLACKPINK
96,내가 아니라도,주호
97,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
98,Say I Love You,우디 (Woody)
99,Pink Venom,BLACKPINK
100,당신을 만나,김호중
